ridership,route_id,route_name,route_type,service_period,day
250.0,238,238-WESTGATE,Feeder,Fall 2013,weekday
266.0,238,238-WESTGATE,Feeder,Spring 2014,weekday
270.0,238,238-WESTGATE,Feeder,Summer 2014,weekday
313.0,238,238-WESTGATE,Feeder,Fall 2014,weekday
303.0,238,238-WESTGATE,Feeder,Spring 2015,weekday
282.0,238,238-WESTGATE,Feeder,Summer 2015,weekday
858,240,240-PARKFIELD,Feeder,Spring 2012,weekday
924,240,240-PARKFIELD,Feeder,Summer 2012,weekday
1026,240,240-PARKFIELD,Feeder,Fall 2012,weekday
825,240,240-PARKFIELD,Feeder,Spring 2013,weekday
947,240,240-PARKFIELD,Feeder,Summer 2013,weekday
839,240,240-PARKFIELD,Feeder,Fall 2013,weekday
850,240,240-PARKFIELD,Feeder,Spring 2014,weekday
940,240,240-PARKFIELD,Feeder,Summer 2014,weekday
870,240,240-PARKFIELD,Feeder,Fall 2014,weekday
754,240,240-PARKFIELD,Feeder,Spring 2015,weekday
727,240,240-PARKFIELD,Feeder,Summer 2015,weekday
409,243,243-WELLS BRANCH,Feeder,Spring 2012,weekday
465,243,243-WELLS BRANCH,Feeder,Summer 2012,weekday
451,243,243-WELLS BRANCH,Feeder,Fall 2012,weekday
439,243,243-WELLS BRANCH,Feeder,Spring 2013,weekday
447,243,243-WELLS BRANCH,Feeder,Summer 2013,weekday
456,243,243-WELLS BRANCH,Feeder,Fall 2013,weekday
430,243,243-WELLS BRANCH,Feeder,Spring 2014,weekday
646,243,243-WELLS BRANCH,Feeder,Summer 2014,weekday
552,243,243-WELLS BRANCH,Feeder,Fall 2014,weekday
429,243,243-WELLS BRANCH,Feeder,Spring 2015,weekday
411,243,243-WELLS BRANCH,Feeder,Summer 2015,weekday
255,271,271-DEL VALLE FLEX,Feeder,Spring 2012,weekday
204,271,271-DEL VALLE FLEX,Feeder,Summer 2012,weekday
300,271,271-DEL VALLE FLEX,Feeder,Fall 2012,weekday
294,271,271-DEL VALLE FLEX,Feeder,Spring 2013,weekday
257,271,271-DEL VALLE FLEX,Feeder,Summer 2013,weekday
329,271,271-DEL VALLE FLEX,Feeder,Fall 2013,weekday
356,271,271-DEL VALLE FLEX,Feeder,Spring 2014,weekday
258,271,271-DEL VALLE FLEX,Feeder,Summer 2014,weekday
373,271,271-DEL VALLE FLEX,Feeder,Fall 2014,weekday
340,271,271-DEL VALLE FLEX,Feeder,Spring 2015,weekday
230,271,271-DEL VALLE FLEX,Feeder,Summer 2015,weekday
,275,275-N. LAMAR,Feeder,Spring 2012,weekday
,275,275-N. LAMAR,Feeder,Summer 2012,weekday
,275,275-N. LAMAR,Feeder,Fall 2012,weekday
,275,275-N. LAMAR,Feeder,Spring 2013,weekday
,275,275-N. LAMAR,Feeder,Summer 2013,weekday
,275,275-N. LAMAR,Feeder,Fall 2013,weekday
1144.0,275,275-N. LAMAR,Feeder,Spring 2014,weekday
1454.0,275,275-N. LAMAR,Feeder,Summer 2014,weekday
1401.0,275,275-N. LAMAR,Feeder,Fall 2014,weekday
1343.0,275,275-N. LAMAR,Feeder,Spring 2015,weekday
1354.0,275,275-N. LAMAR,Feeder,Summer 2015,weekday
6395,300,300-GOVALLE,Crosstown,Spring 2012,weekday
6115,300,300-GOVALLE,Crosstown,Summer 2012,weekday
6588,300,300-GOVALLE,Crosstown,Fall 2012,weekday
6417,300,300-GOVALLE,Crosstown,Spring 2013,weekday
6200,300,300-GOVALLE,Crosstown,Summer 2013,weekday
6181,300,300-GOVALLE,Crosstown,Fall 2013,weekday
6146,300,300-GOVALLE,Crosstown,Spring 2014,weekday
6103,300,300-GOVALLE,Crosstown,Summer 2014,weekday
6295,300,300-GOVALLE,Crosstown,Fall 2014,weekday
5813,300,300-GOVALLE,Crosstown,Spring 2015,weekday
5940,300,300-GOVALLE,Crosstown,Summer 2015,weekday
1479,311,311-STASSNEY,Crosstown,Spring 2012,weekday
1299,311,311-STASSNEY,Crosstown,Summer 2012,weekday
1560,311,311-STASSNEY,Crosstown,Fall 2012,weekday
1380,311,311-STASSNEY,Crosstown,Spring 2013,weekday
