ridership,route_id,route_name,route_type,service_period,day
17.7,228,228-BURLESON,Feeder,Spring 2012,weekday
22.6,228,228-BURLESON,Feeder,Summer 2012,weekday
24.1,228,228-BURLESON,Feeder,Fall 2012,weekday
18.9,228,228-BURLESON,Feeder,Spring 2013,weekday
22.5,228,228-BURLESON,Feeder,Summer 2013,weekday
23.8,228,228-BURLESON,Feeder,Fall 2013,weekday
14.1,228,228-BURLESON,Feeder,Spring 2014,weekday
16.1,228,228-BURLESON,Feeder,Summer 2014,weekday
16.3,228,228-BURLESON,Feeder,Fall 2014,weekday
14.9,228,228-BURLESON,Feeder,Spring 2015,weekday
15.1,228,228-BURLESON,Feeder,Summer 2015,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2012,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2013,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Summer 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Fall 2014,weekday
,237,237-NORTHEAST FLEX,Feeder,Spring 2015,weekday
1.9,237,237-NORTHEAST FLEX,Feeder,Summer 2015,weekday
,238,238-WESTGATE,Feeder,Spring 2012,weekday
,238,238-WESTGATE,Feeder,Summer 2012,weekday
,238,238-WESTGATE,Feeder,Fall 2012,weekday
15.0,238,238-WESTGATE,Feeder,Spring 2013,weekday
14.2,238,238-WESTGATE,Feeder,Summer 2013,weekday
13.3,238,238-WESTGATE,Feeder,Fall 2013,weekday
14.1,238,238-WESTGATE,Feeder,Spring 2014,weekday
14.3,238,238-WESTGATE,Feeder,Summer 2014,weekday
16.6,238,238-WESTGATE,Feeder,Fall 2014,weekday
16.1,238,238-WESTGATE,Feeder,Spring 2015,weekday
15.0,238,238-WESTGATE,Feeder,Summer 2015,weekday
23.5,240,240-PARKFIELD,Feeder,Spring 2012,weekday
25.3,240,240-PARKFIELD,Feeder,Summer 2012,weekday
28.2,240,240-PARKFIELD,Feeder,Fall 2012,weekday
22.6,240,240-PARKFIELD,Feeder,Spring 2013,weekday
26.0,240,240-PARKFIELD,Feeder,Summer 2013,weekday
23.0,240,240-PARKFIELD,Feeder,Fall 2013,weekday
23.3,240,240-PARKFIELD,Feeder,Spring 2014,weekday
25.8,240,240-PARKFIELD,Feeder,Summer 2014,weekday
23.9,240,240-PARKFIELD,Feeder,Fall 2014,weekday
20.7,240,240-PARKFIELD,Feeder,Spring 2015,weekday
19.9,240,240-PARKFIELD,Feeder,Summer 2015,weekday
15.7,243,243-WELLS BRANCH,Feeder,Spring 2012,weekday
18.5,243,243-WELLS BRANCH,Feeder,Summer 2012,weekday
18.0,243,243-WELLS BRANCH,Feeder,Fall 2012,weekday
17.5,243,243-WELLS BRANCH,Feeder,Spring 2013,weekday
17.8,243,243-WELLS BRANCH,Feeder,Summer 2013,weekday
18.1,243,243-WELLS BRANCH,Feeder,Fall 2013,weekday
17.1,243,243-WELLS BRANCH,Feeder,Spring 2014,weekday
25.7,243,243-WELLS BRANCH,Feeder,Summer 2014,weekday
21.9,243,243-WELLS BRANCH,Feeder,Fall 2014,weekday
17.1,243,243-WELLS BRANCH,Feeder,Spring 2015,weekday
16.3,243,243-WELLS BRANCH,Feeder,Summer 2015,weekday
10.1,271,271-DEL VALLE FLEX,Feeder,Spring 2012,weekday
8.1,271,271-DEL VALLE FLEX,Feeder,Summer 2012,weekday
11.8,271,271-DEL VALLE FLEX,Feeder,Fall 2012,weekday
11.6,271,271-DEL VALLE FLEX,Feeder,Spring 2013,weekday
10.2,271,271-DEL VALLE FLEX,Feeder,Summer 2013,weekday
13.0,271,271-DEL VALLE FLEX,Feeder,Fall 2013,weekday
14.1,271,271-DEL VALLE FLEX,Feeder,Spring 2014,weekday
10.2,271,271-DEL VALLE FLEX,Feeder,Summer 2014,weekday
14.8,271,271-DEL VALLE FLEX,Feeder,Fall 2014,weekday
13.5,271,271-DEL VALLE FLEX,Feeder,Spring 2015,weekday
8.7,271,271-DEL VALLE FLEX,Feeder,Summer 2015,weekday
,275,275-N. LAMAR,Feeder,Spring 2012,weekday
